ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B00RNS454Y","Mavs Store","150pk Disposable Gloves - Multipurpose (Pack of 2)","DIY & Tools","N/A","1","MFN","5.99","3.07","46","275.54","69,505","2","5","3","0.0x0.0x0.0","0.28","Small Standard-Size","1",,
"B01MUGHOJG","Alvar","Alvar Kids Multipurpose LATEX FREE - POWDER FREE DISPOSABLE Gloves for Children (White - 20 Pairs)","DIY & Tools","VALDERNLIMITED","1","MFN","11.99","0.00",,,"7,869","4.5","27","13","n/a","n/a","n/a","1",,
"B00D3GN24Y","Marigolds","Marigolds Extra Life Kitchen Medium Glove 1 single","Home & Kitchen","A1SONIC®","7","MFN","4.99","2.21","1,620","8,083.80","2,918","4.5","13","4","5.6x10.4x1.2","0.15","Large Standard-Size","1",,
"B085XY1MDW","Lubier","Lubier 100 Pcs Disposable Clear Gloves Multipurpose Transparent Food Prep Gloves for Home Travel","Beauty","N/A","1","MFN","0.01","0.00","3","0.03","40,738","0","0","0","n/a","n/a","n/a","9",,
"B008JG9CAQ","SW-Stahl","Multi-Purpose Gloves 11511L Premium Nylon Size 9 Grey","N/A","Kalitec Verbindungstechnik","n/a","N/A","8.67","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
"B002V3IF0Q","SHOWA","Showa 380 L 13 Gauge Nylon Backing Fabric Nitrile Multipurpose Gloves with Microporous Coating on Palm, L, Blue/Black","DIY & Tools","N/A","4","MFN","5.28","2.76",,,"24,834","4.5","26","1","3.9x10.1x1.2","0.15","Large Standard-Size","2",,
"B086133KN4","BSGP","BSGP 100Pcs Disposable Gloves, Food Handing Gloves Multipurpose Disposable Food Grade Latex Free Safety Work Glove (Medium, Transparent)","DIY & Tools","N/A","1","MFN","10.99","0.00","4","43.96","269,707","0","0","0","n/a","n/a","n/a","8",,
"B00BT0RW2O","Portwest","12 PAIRS PORTWES LATEX WORK GLOVES A150 S-XXL BLACK ORANGE GREEN (Large, orange)","DIY & Tools","N/A","6","MFN","9.46","4.01","48","454.08","53,979","4","34","0","8.1x10.6x4.1","2.07","Large Standard-Size","2",,
"B005GVETQ4","Showa Gloves","Showa Multi-Purpose Thermal Gloves (Size 9, Large)","DIY & Tools","N/A","10","FBA","6.12","3.71",,,"25,334","4","29","0","5.5x11.0x1.9","0.44","Large Standard-Size","2",,
"B087619SHY","BVL Grayson","Multi-purpose Mileage Log: A mileage journal that can be kept handy in your vehicle's glove compartment to record the accurate miles traveled for all appropriate objectives.","Business, Finance & Law","N/A","n/a","N/A","6.39","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
