ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B07V544XKD","($) SPIFFLYER","($) Spifflyer 7.5M 25 Foot Self Locking Tape Measure Retractable Measuring Tape, Metric and Inch, Orange & Black","($) DIY & Tools","($) ","1","FBA","8.99","3.35","4","35.96","72,905","5","3","0","4.1x7.7x2.2","0.88","Large Standard-Size","7",,
"B083SMHSW8","($) Meterk","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B07WDGR2VX","($) TACKLIFE","($) Digital Tape Measure 16Ft M/in/Ft Rechargeable with Large Backlit LCD, Auto-Lock, 10 Data Store, Rezero Button, Recalibration, Relative Measurement, USB Charging Cable Included - TACKLIFE MDT01","($) DIY & Tools","($) ","1","FBA","22.97","5.20","2","45.94","180,024","5","1","0","4.4x4.7x2.4","0.93","Large Standard-Size","8",,
"B081CPFNVV","($) Delymc","($) Delymc Tape Measure DN08 Meter Measure covered with Impact Resistant Rubber Case and it can Precisely Measure.","($) DIY & Tools","($) ","1","FBA","6.99","3.01","5","34.95","80,629","-1","0","0","3.9x5.4x2.0","0.75","Large Standard-Size","9",,
"B004ISVQLM","Advent","Advent 5m Vice-Versa Tape Measure","DIY & Tools",,"4","MFN","15.87","3.25","47","745.89","18,084","4.5","158","2","3.6x7.5x1.2","0.66","Large Standard-Size","1",,
"B00OAFBOJM","Stanley","STANLEY FATMAX Autolock Tape, 5m Metric Only","DIY & Tools",,"3","AMZ","19.95","4.69","67","1,336.65","14,076","4","574","20","2.6x4.3x2.3","0.97","Large Standard-Size","8",,
"B001C7HJ04","Silverline","Silverline 250192 Chunky Tape Measure 5m x 25mm","DIY & Tools",,"6","AMZ","4.27","2.78","86","367.22","32,009","4.5","170","1","4.3x6.7x2.4","0.35","Large Standard-Size","2",,
"B01IAGD0HU","Milwaukee","Milwaukee MIL48227216 5M-16 Premium Magnetic Tape Measure, Multicolour","DIY & Tools",,"1","AMZ","17.99","4.33","71","1,277.29","40,371","4.5","68","1","3.2x6.3x2.0","0.84","Large Standard-Size","7",,
"B00P01FIAQ","Stanley","STANLEY FATMAX Autolock Tape, 5 m/16 ft","DIY & Tools",,"5","MFN","25.05","4.49","38","951.90","28,490","4","61","0","4.5x7.0x2.3","0.95","Large Standard-Size","9",,
"B01HQL2NX2","OX Tools","OX Tools OX-P028705 Pro Heavy Duty Metric/Imperial 5m tape measure, Multi-Colour","DIY & Tools",,"4","AMZ","18.37","4.64","51","936.87","23,663","4.5","102","2","6.7x10.1x2.4","0.97","Large Standard-Size","5",,
"B001M9EW4I","Blackspur","Blackspur BB-TM258 Contractors Dual Blade Tape Measure","DIY & Tools",,"3","MFN","5.35","2.97",,,,"3.5","41","0","4.6x7.0x1.7","1.15","Large Standard-Size","1",,
"B000LFX91G","Silverline","Silverline MT44 Steel Surveyors Tape Measure 50m","DIY & Tools",,"5","MFN","13.10","3.47","14","183.40","44,185","4.5","29","0","6.3x6.4x1.4","1.65","Large Standard-Size","1",,
"B07P75DXSC","sscollection","Marksman 10/5M Heavy Duty Industrial Tape Measure 25MM Width Smooth Blade Recoil (10m)","DIY & Tools",,"1","MFN","9.99","0.00","2","19.98","393,089","5","1","0","n/a","n/a","n/a","1",,
"B01D35H218","Stanley","Stanley XTHT0-36003 Pro Blade Armor Tape Measure with Anchor, Black/Yellow, 5 m/32 mm","DIY & Tools",,"1","AMZ","34.53","6.41","0","0.00","441,241","4","38","0","4.7x7.1x2.4","0.84","Large Standard-Size","4",,
"B00LLPIEK6","Meterex","Meterex Diaflex Diameter Tape Measure with Flexible Steel Blade and Plastic Case, Dual Reading in CM and Inches with 2m Range and Blank Space Before Zero - Measure Diameter of Trees and Pipes","DIY & Tools",,"1","FBA","18.00","3.64","7","126.00","82,739","5","4","0","2.2x2.2x0.8","0.02","Large Standard-Size","4",,
"B003IMKEQM","Roughneck","Roughneck ROU43205 Tape Measure 5m/16ft (Width 25mm)","DIY & Tools",,"2","AMZ","11.45","3.54","8","91.60","145,470","4.5","40","0","4.5x6.9x1.3","0.66","Large Standard-Size","3",,
"B0828P6PYP","($) Limeow","($) Limeow Measuring Tape Keychain Retractable Sewing Measuring Tape Soft Tape Measure for Body Practical and Flexible Suitable for Clothes Body Sewing Thoughtful Design Portable and Easy to Carry 4 Pcs","($) Home & Kitchen","($) ","1","FBA","8.99","2.89","4","35.96","160,627","5","1","0","4.8x6.3x1.3","0.24","Large Standard-Size","7",,
