ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B0836LXRMZ","YTBUBOR","YTBUBOR 2 Pack Baby Muslin Washcloths 120cm × 120cm Cotton Muslin Cartoon Blanket Water Absorbent Face Towel Baby Shower Wipes for Newborn","Baby Products",,"1","FBA","13.99","4.37","27","377.73","7,842","5","1","0","5.0x8.6x2.9","0.66","Large Standard-Size","9",,
"B01GCJTHJC","Bright Bots","Bright Bots Unisex Combo Muslin Squares (70 cm, Pack of 6)","Baby Products",,"3","AMZ","12.99","4.39","214","2,779.86","2,141","4.5","109","5","9.1x10.1x2.0","1.06","Large Standard-Size","3",,
"B01BOW5KPM","Lovjoy","Lovjoy 100% Cotton Muslin Squares - Pack of 6-70 x 70 cm","Baby Products",,"1","FBA","12.99","4.22","186","2,416.14","2,293","4.5","125","2","5.3x9.6x2.4","0.71","Large Standard-Size","7",,
"B005UQQ58U","THE PLANET STORE","Dudu N Girlie 100 Percent Cotton Baby Muslin Squares, 3-Piece, Blue","Baby Products",,"1","AMZ","3.99","2.59","66","263.34","3,689","3.5","15","0","7.7x14.1x1.2","0.47","Large Standard-Size","2",,
"B0868WNG5P","My Little World",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B014VOJNDA","($) CuddleBug","($) CuddleBug – Muslin Baby Swaddle Blankets for Boys and Girls 0 to 3 Months - Large 4 Feet x 4 Feet – Unisex 100% Premium Muslin Cotton Multifunctional Baby Blankets - 4 Pack (Colorful Critters)","($) Baby Products","($) ","1","FBA","29.95","6.93","19","569.05","19,757","5","1,445","0","8.8x12.9x2.4","1.55","Large Standard-Size","9",,
"B085CMX9SS","($) Buzz B","($) Buzz B- 4 Piece Muslin Baby Essential Set | Muslin Swaddle, Burp Cloth, Large Feeding Bib, Bandana Bib | 70% Bamboo, 30% Cotton | Perfect gift for Baby shower and New mums (Unicorn)","($) Clothing","($) ","1","FBA","22.99","5.62",,,,"-1","0","0","8.4x10.2x1.7","0.66","Large Standard-Size","6",,
"B0722LDLPJ","($) Mama Designs","($) Mama Designs Super Soft 100% Cotton Baby Muslin Squares (Monochrome Pineapple)","($) Baby Products","($) ","1","FBA","15.00","4.30","16","240.00","7,213","4.5","13","0","6.7x10.1x1.3","0.44","Large Standard-Size","9",,
"B002BPZGVA","Bee Bo","12 x Pink Supreme Quality Muslin Squares.100% Cotton","Baby Products",,"1","AMZ","10.99","3.95","139","1,527.61","1,521","4.5","74","0","7.9x15.0x2.8","1.54","Large Standard-Size","2",,
"B00Y1DJG84","Ziggle","Ziggle Baby Luxury Muslin Cloths Squares Stylish Thick Absorbent Cotton Breathable Grey","Baby Products",,"1","FBA","13.99","4.15","102","1,426.98","2,792","4.5","25","0","8.0x9.0x1.9","0.62","Large Standard-Size","6",,
"B01DI51BHY","MAKIAN","Makian - Baby Muslin Squares / Burp Cloth / Swaddles, 10 Pack, Large 80x80 cm, White | Premium Quality - Double Weaved,  OEKO-TEX Certified, washable at 90°C","Baby Products",,"2","FBA","16.99","4.85","150","2,548.50","3,379","4.5","1,766","44","7.0x9.4x4.4","1.63","Large Standard-Size","7",,
"B079Z83QNH","aden + anais","aden by aden + anais 100% cotton muslin swaddle blanket safari babes 4-pack- (112 x 112cm)","Baby Products",,"1","AMZ","29.99","6.80","187","5,608.13","2,619","4.5","105","2","11.4x12.0x2.7","1.41","Large Standard-Size","8",,
"B082TSB47N","Lebze","LifeTree Soft Muslin Cloths for Baby Girls or Boys - Rainbow Print Bamboo Cotton Swaddle Blankets 120 x 120cm","Baby Products",,"1","FBA","14.90","4.51","60","894.00","3,939","5","17","1","3.4x8.1x2.7","0.35","Large Standard-Size","7",,
"B07T3JZPZD","ALBOYI","3 Pack Baby Muslin Washcloths 120cmX120cm Cartoon Cotton Muslin Newborn Towel Large Gauze Squares Babies Swaddle Blanket Shower Wipes by ALBOYI(Fish/Fox/Geometric Print)","Baby Products",,"1","FBA","14.90","4.54","205","3,054.50","1,855","4.5","56","8","8.1x8.3x2.4","0.97","Large Standard-Size","7",,
"B07MYPZPDB","A & B TRADERS","Baby Muslin Squares Cloths | Pack of 12 | 100% Cotton | Superior Quality | White 70 x 70","Baby Products",,"1","MFN","12.95","0.00","28","362.60","6,375","3.5","4","0","n/a","n/a","n/a","2",,
"B07VPGN19J","rongrong","100% Organic Baby Cotton Washcloths 10 Pack, Reusable Baby Wipes, Extra Soft Face/Shower Towels for Newborn Baby, Muslin Squares Organic Cotton,Muslin Squares Baby 30 * 30cm","Baby Products",,"1","FBA","10.90","3.81","82","893.80","19,160","4.5","24","3","8.9x9.5x2.0","0.44","Large Standard-Size","7",,
"B07ZNMYB6K","Lebze","LifeTree Baby Muslin Cloths, Bamboo Cotton Soft Muslin Squares for Baby Girls or Boys (70x70cm), 4 Pack Feather/Dinosaur/Bear/Giraffe Print","Baby Products",,"1","FBA","15.90","4.66","43","683.70","23,675","4","22","2","9.6x10.4x2.0","0.55","Large Standard-Size","7",,
"B081SRVM96","Leepem baby","Baby Muslin Squares Set，Baby Muslin Wash Cloths for Bath| Baby Face Towel and Washcloths, Baby Registry as Shower Gift (11.8 x11.8 Inches Set of 6) by Leepem baby","Baby Products",,"1","FBA","13.99","4.24",,,,"4.5","66","0","5.9x7.0x3.6","0.44","Large Standard-Size","9",,
"B00WWJ46DE","Lovjoy","Lovjoy 100% Cotton Muslin Squares, Blue (70 x 70 cm) - Pack of 6","Baby Products",,"1","FBA","13.99","4.24","42","587.58","9,729","4.5","99","1","4.5x9.9x3.1","0.88","Large Standard-Size","4",,
"B01FNSBC64","CuddleBug","Muslin Baby Swaddle Blankets for Boys and Girls 0 to 3 Months - Large 4 x 4 Feet – Unisex 100% Premium Muslin Cotton Baby Blankets - 4 Pack (Safari Friends)","Baby Products",,"n/a","FBA","29.95","6.93","131","3,923.45","11,954","5","231","10","9.0x13.1x2.8","1.5","Large Standard-Size","9",,
"B017JF8O2E","($) Cuski","($) Cuski Bamboo Reusable Muslin Wipes (Pack of 7) Used Within NHS","($) Baby Products","($) ","3","AMZ","15.99","4.70","12","191.88","12,136","5","9","-1","6.0x6.9x3.1","0.93","Large Standard-Size","1",,
"B079BW5LVS","($) Cuski","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B071WP1BQX","($) Cuski","($) Mussi Cuski Bamboo Muslin Comforter (Charlie)","($) Baby Products","($) ","4","MFN","17.80","4.69","8","142.40","42,989","5","5","0","3.0x9.3x3.0","0.26","Large Standard-Size","1",,
