ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B086WBNDR8","($) Merkisa","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B0875M4CJG","($) Sanvaree","($) Thermometer for Adults, Forehead Thermometer Non-Contact Digital Infrared Thermometer Fever Thermometer for Baby, Children, Adult","($) Baby Products","($) ","1","MFN","49.99","0.00","3","149.97","19,521","-1","0","0","n/a","n/a","n/a","7",,
"B079MGC9NP","($) ACT","($) Pack of 20 Act AG3 / LR41 / 192/392 Button Cell Watch Battery With Long Shelf Life (Expire Date Marked)","($) Electronics & Photo","($) ","1","FBA","5.55","0.00","2,325","12,903.75","167","4.5","4,824","226","4.7x8.7x0.4","0.07","Small Standard-Size","8",,
"B00E972VZW","TensCare","TensCare Digi Duckling Digital Water Thermometer/Bath Toy","Baby Products",,"1","AMZ","6.99","2.70","1,042","7,283.58","171","4","901","22","2.9x3.6x2.6","0.04","Large Standard-Size","3",,
"B086WCTMR3","Yinuoday","Digital Body Thermometer,Oral Underarm Temperature Thermometer Fast Read Temperature Meter for Baby,Adults or Kids (Blue 1)","Health & Personal Care",,"1","MFN","13.89","0.00","11","152.79","80,444","-1","0","0","n/a","n/a","n/a","7",,
"B085VT3KMY","AJFIEF","Baby Adult Digital Thermometer, AJFIEF Household Electronic Thermometer Precision Thermometer Soft Head,Infant Toddler Kids Thermometer for Fever,Accurate Fast Temperature Reading Thermometer (Blue)","Baby Products",,"1","MFN","5.75","0.00",,,,"-1","0","0","n/a","n/a","n/a","4",,
"B07Y59DMKF","Polymex","Monkey Baby Forehead Fever Temperature Thermometer Strip– Liquid Crystal Display","Health & Personal Care",,"2","MFN","2.40","2.63",,,,"3.5","53","7","2.4x4.7x0.0","0.22","Small Standard-Size","3",,
"B085WJKTPS","Oksea","Oksea 2Pcs Child Adult Kids Digital Thermometer LCD Screen Temperature Measurement for Fever Household Thermometer (2Pcs)","Baby Products",,"1","MFN","6.99","0.00","12","83.88","35,774","-1","0","0","n/a","n/a","n/a","6",,
"B085Y9V6VT","AJFIEF","Digital Forehead Thermometer, AJFIEF Ear Infrared Thermometer for Adult Baby Children Kid Toddler Infant Newborn, Accurate Fast Temperature Gun, Non-Contact Measurement (White)","Health & Personal Care",,"1","MFN","57.99","0.00","69","4,001.31","81,697","1","1","0","n/a","n/a","n/a","9",,
"B002IS0M32","Tommee Tippee","Tommee Tippee Closer to Nature Healthcare Kit","Baby Products",,"9","AMZ","14.00","4.24","5,303","74,242.00","125","4.5","4,887","200","4.5x6.7x2.4","0.26","Large Standard-Size","6",,
"B07S7QSG78","Charlemain","Baby Bath Thermometer, Bath Water Temperature Digital Room Thermometer, Floating Bath Toy in Bathtub Swimming Pool with LED Warning Alarm, Yellow Duck","Baby Products",,"1","FBA","12.99","4.22","118","1,532.82","2,958","4","411","34","3.3x4.8x2.8","0.35","Large Standard-Size","7",,
"B00CQUH532","Nuby","Nuby Bath Thermometer and Clock, Turtle","Baby Products",,"1","AMZ","11.49","3.89","811","9,318.39","461","4.5","381","12","5.0x6.7x1.3","0.22","Large Standard-Size","6",,
"B0868FP7ZY","yivans","Digital LCD Thermometer, Electronic Thermometer Measurement for Fever, Oral Thermometer Temperature Meter for Adults and Babies(greenpinecone）","Baby Products",,"1","MFN","9.99","0.00","38","379.62","25,665","1","1","0","n/a","n/a","n/a","8",,
"B07XL3R2DS","Pigup",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B00DJQTGES","Safety 1st","Safety 1st Shower Thermometer","Baby Products",,"2","AMZ","9.19","2.79","29","266.51","14,311","2.5","15","0","3.9x7.6x1.6","0.09","Large Standard-Size","8",,
"B0871DZ2BH","($) VNEED","($) Digital Body Thermometer with 100Pcs Disposable Digital Thermometer Probe Covers, Digital Rectal and Oral Thermometers,Accurate and Fast Readings,for Kids Baby,Adults","($) Baby Products","($) ","1","N/A","19.99","0.00","109","2,178.91","3,026","5","3","0","n/a","n/a","n/a",,,
"B07JDJSMYY","($) femometer","($) Basal Thermometer for Ovulation, Intelligent BBT Thermometer with Bluetooth for Natural Family Planning, Fertility Monitor and Period Tracker with APP (iOS & Android) from Femometer Vinca","($) Health & Personal Care","($) ","1","FBA","24.99","5.80","363","9,071.37","5,110","4.5","249","30","2.8x5.7x1.4","0.22","Large Standard-Size","7",,
"B085ZZCK37","($) wisedwell","($) wisedwell Bearivt Infant Thermometer Baby Adult Fever Alert Function Digital Body Soft Head Alar Thermometer 10 Seconds Reading 2 Colors","($) Health & Personal Care","($) ","1","MFN","21.24","0.00","2","42.48","175,562","-1","0","0","n/a","n/a","n/a","8",,
"B000279W00","Philips","Philips Avent Baby Bath and Bedroom Thermometer, Blue - SCH550/20","Baby Products",,"2","AMZ","17.65","5.54","291","5,136.15","1,044","4","3,123","43","3.3x3.8x3.3","0.26","Large Standard-Size","3",,
"B086WBXRSH","Merkisa",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B06WD1FXJX","Safety 1st","Safety 1st Frog Digital Bath Thermometer","Baby Products",,"10","AMZ","9.99","2.94","6","59.94","30,243","2","33","0","4.3x7.5x2.0","0.04","Large Standard-Size","3",,
"B086YF64FN","COOTA","Digital Thermometer Medical - Fever Thermometer, Oral Rectal Armpit Thermometer with Accurate Fast Reading for Baby Kids and Adults …","Baby Products",,"1","MFN","14.88","0.00","9","133.92","8,853","5","2","0","n/a","n/a","n/a","9",,
"B00AIRTNVW","Dreambaby","Dreambaby Room & Bath Thermometer - BPA Free - Accurate Temperature Gauge (Duck)","Baby Products",,"4","AMZ","9.99","2.97","181","1,808.19","1,627","4.5","274","3","8.3x11.5x3.2","0.23","Large Standard-Size","9",,
"B00SDTFSRU","Sophie la girafe","Sophie la girafe Digital Bath Thermometer - Water Temperature Tester for Babies","Toys & Games",,"1","AMZ","14.99","4.30","2","29.98","46,506","4","731","18","3.1x5.9x1.2","0.18","Large Standard-Size","3",,
"B08776KWHF","CLSPC","Thermometer for Adults, Non-Contact Ear and Forehead Digital Infrared Thermometer with CE FDA Approved Suitable for Baby Children and Adults","Baby Products",,"1","MFN","53.99","0.00","1","53.99","34,796","-1","0","0","n/a","n/a","n/a","3",,
"B0077KA060","Miniland","Miniland Bee Shaped Bath and Environmental Thermometer","Baby Products",,"3","AMZ","12.50","3.90","254","3,175.00","2,063","4.5","333","9","3.5x4.7x3.5","0.26","Large Standard-Size","4",,
"B0167RGZZ8","NUK","NUK Digital Baby Bath Floating Temperature Thermometer, LCD Display, Starfish, Blue","Baby Products",,"2","AMZ","14.99","4.30","19","284.81","12,011","4","72","1","4.7x4.9x1.6","0.44","Large Standard-Size","3",,
"B07YXM3TTJ","Afufu","Afufu Baby Grooming Kit, Infant Daily Nurse Tool with Baby Combing Kit & Manicure Set, 8 Pcs Kits Healthcare Newborns Care for Travelling & Home Use, Ideal for Toddler Girls & Boys","Baby Products",,"1","FBA","13.99","4.37","39","545.61","5,628","4.5","10","0","5.4x7.0x2.3","0.57","Large Standard-Size","7",,
"B00WGSZ8L0","Aquascale","Aqua Scale Digital Baby Bath with Scale White","Baby Products",,"7","AMZ","59.95","14.31","324","19,423.80","1,204","4","176","5","20.1x32.3x11.8","7.63","Small Oversize","7",,
"B082WYGBRP","Lupantte","Lupantte Baby Grooming Kit, 18PCS Baby Health Care Kit Newborn Baby Care Accessories, Electric Nail Clipper, Thermometer, Nasal Aspirator, Baby Care Kit for Infants Newborns, Perfect Baby Shower Gift","Baby Products",,"1","FBA","18.99","5.02","86","1,633.14","24,312","4.5","16","1","6.8x12.6x1.6","0.75","Large Standard-Size","9",,
"B07XDS82B9","($) TOGUARD","($) TOGUARD Video Baby Monitor with Digital Cam with 3.5 Inch LCD 1000ft 2.4GHz Wireless Transmission with Infrared Night Vision Two Way Talk VOX Auto Wake-up Temperature Sensor Multiple Cameras Supported","($) Baby Products","($) ","1","FBA","59.99","11.44","517","31,014.83","564","4.5","322","23","6.1x7.2x3.2","1.1","Large Standard-Size","9",,
"B072JRPYFR","($) femometer","($) Basal Thermometer for Ovulation, Intelligent BBT Thermometer with Bluetooth for Natural Family Planning, Fertility Monitor and Period Tracker with APP (iOS & Android) from Femometer Vinca","($) Health & Personal Care","($) ","1","FBA","23.99","5.14","777","18,640.23","4,296","4","925","10","2.8x5.7x0.9","0.26","Large Standard-Size","7",,
"B0855LTTKH","($) ROSEBEAR","($) ROSEBEAR Digital Medical Thermometer, Accurate and Fast Readings - Home Oral and Rectal Thermometer for Baby and Adult Temperature Measurement Fever Indicator","($) Health & Personal Care","($) ","2","MFN","8.99","3.52","1,044","9,385.56","15,714","3.5","11","4","2.4x6.5x1.2","0.18","Large Standard-Size","7",,
