#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
48,Leopard CUB Children Kids Motocross Motorbike Gloves Dirty Quad Bike ATV Karting Gloves - Green XL - 8CM,B07JXY4MDY,Leopard,Automotive,9.99,203783,1,10,6,,5.0,0.07,https://www.amazon.co.uk/dp/B07JXY4MDY/
49,"Evo New Leather Motorbike Motorcycle Bike Heavy Duty Waterproof Winter Thermal Carbon Shell Gloves""Winter Thermal Inner Gloves Included FREE"" (Large)",B01GK48UC4,EVO Fitness,Automotive,21.99,18853,15,330,304,,4.3,0.32,https://www.amazon.co.uk/dp/B01GK48UC4/
50,Wulfsport Children Kids Stratos Motocross Motorbike Gloves (Blue XS 7cm) ATV Dirt Quad Bike Off Road Gloves,B07K7GVM88,Wulf,Automotive,13.49,100766,3,40,0,--,4.7,N/A,https://www.amazon.co.uk/dp/B07K7GVM88/
51,"LEENY Motocross Crash Helmet with Goggles Mask Gloves, Motorcycle Off-Road DH Enduro Racing Downhill Dirt Bikes MTB ATV BMX Quads Motorbike Helmet for Adult Men Women",B07QVCB5ZT,LEENY,--,45.99,N/A,,,2,,5.0,N/A,https://www.amazon.co.uk/dp/B07QVCB5ZT/
52,Alpinestars Men's Aspen Wr Pro Glove,B078H7KQV6,Alpinestars,Sports & Outdoors,26.98,656845,16,432,3,,5.0,0.09,https://www.amazon.co.uk/dp/B078H7KQV6/
53,Texpeed Red & Black Protective Leather Motorbike/Motorcycle Gloves - All Sizes,B008ELHNJ8,Texpeed,Automotive,0,56811,5,,153,,4.4,0.28,https://www.amazon.co.uk/dp/B008ELHNJ8/
54,Leopard LEO-X16 Kids Motocross HELMET & GLOVES Children Dirt Bike ATV Quad Motorbike Helmet,B015QWHVMG,Leopard,--,36.95,N/A,,,27,,4.2,N/A,https://www.amazon.co.uk/dp/B015QWHVMG/
55,"Savior Motorcycle Heated Gloves for Men and Women, Palm Leather Gloves for Winter Skiing，Skating, Running, Walking, 7.4V 2200 Mah Electric Rechargeable Batteries Gloves, Works Up To 2.5-5 Hours",B071WRZ7YG,Savior,Sports & Outdoors,129.99,83145,23,2990,437,,4.2,1,https://www.amazon.co.uk/dp/B071WRZ7YG/
56,Hand Fellow Premium Leather Motorbike Motorcycle Gloves Touch Screen Gloves with Knuckle Protection Racing gloves Riding Gloves (XX Large),B07GCMJC7J,Hand Fellow,Automotive,16.99,35041,8,136,73,,4.1,0.19,https://www.amazon.co.uk/dp/B07GCMJC7J/
57,"O 'Neal Matrix Wingman Childrens Bike Gloves, Children's, Matrix Wingman",B011DTPXQW,O'Neal,Sports & Outdoors,11.95,543567,16,191,7,,3.8,0.07,https://www.amazon.co.uk/dp/B011DTPXQW/
58,Wulfsport 2020 Off Road Pro Children Kids Motocross Helmet + Kids Attack Gloves + Goggles,B0185OS49Q,Wulf,--,65.99,N/A,,,1,,5.0,N/A,https://www.amazon.co.uk/dp/B0185OS49Q/
59,Mens Black 600D Cordura Waterproof Textile & Leather Motorcycle/Motorbike Gloves,B07DL6L6DN,Texpeed,Automotive,0,84657,3,,44,,4.2,N/A,https://www.amazon.co.uk/dp/B07DL6L6DN/
60,Leopard LEO-X16 Green Kids Motocross Helmet (M 51-52cm) & Gloves (M 6cm) & Goggles & Camo Motocross Suit Jacket (S 5-6 Yrs),B0744J8VYD,Leopard,Automotive,59.99,30956,9,540,19,,4.3,N/A,https://www.amazon.co.uk/dp/B0744J8VYD/
