#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
46,"COSTWAY Retractable Safety Gate with Lock, Extend up to 130CM, Easy One Handed Opening, Wide Mesh Door Stair Guard for Baby Child Pets",B084JT5KRW,COSTWAY,Baby Products,64.95,15137,16,1039,1,,5.0,N/A,https://www.amazon.co.uk/dp/B084JT5KRW/
47,"Dreambaby Ava Safety Gate, Charcoal",B07KTPT44K,Dreambaby,Baby Products,27,5440,44,1188,14,Jun 4 2019,3.8,4.2,https://www.amazon.co.uk/dp/B07KTPT44K/
48,"Walk Thru Baby Gate,Safety Gate Metal Expandable Baby Pet Safety Gate Auto-Close with Pressure Mount with 7cm & 14 cm Extension,Fits Spaces Between 79 to 105 cm Wide 76 cm High",B07QQNVVWT,LEMKA,Baby Products,48.99,3779,69,3380,168,Aug 9 2019,4.3,5.44,https://www.amazon.co.uk/dp/B07QQNVVWT/
49,"Venture Q-Fix Extra Tall Pressure Fit Pet Safety Gate | 75 - 84cm Wide, 110cm Extra Tall | Unique 90° Two Way Open/Stay Door, Auto close Fuction (White, 75-84cm)",B005X27LCK,Venture,Baby Products,0,669,393,,438,Aug 25 2017,4.7,6,https://www.amazon.co.uk/dp/B005X27LCK/
50,Safety 1st Quick Close ST Extra Secure Metal Child Safety Gate Stair Gate Extension Can be Extended Up to 136&nbsp;cm for Clamping White 73&nbsp;–&nbsp;80&nbsp;cm (from 6&nbsp;–&nbsp;24&nbsp;Months),B01G4WERBU,Safety 1st,Baby Products,0,6657,36,,692,,4.0,4.8,https://www.amazon.co.uk/dp/B01G4WERBU/
51,"Bettacare Auto Close Stair Gate Range (68.5cm - 75cm, Slate Grey)",B07XTFV97K,Bettacare,Baby Products,31.95,7468,32,1022,7,Sep 25 2019,3.9,N/A,https://www.amazon.co.uk/dp/B07XTFV97K/
52,"Safetots Extra Wide Hallway Pet Gate 97cm - 153cm (109.4cm - 115.4cm, White)",B011777J9O,Safetots,Baby Products,49.9,7175,34,1697,8,Dec 3 2015,4.9,N/A,https://www.amazon.co.uk/dp/B011777J9O/
53,Dreambaby Liberty Xtra-Tall Safety Gate (Fits 75cm-81cm) Black,B00KWE0J5K,Dreambaby,Baby Products,0,2975,105,,67,Sep 1 2016,4.4,0,https://www.amazon.co.uk/dp/B00KWE0J5K/
54,"Pets Safety Guard,Retractable Dog Gates,Baby guard and fence - Portable Isolated Gauze Folding Gate,Keep Distance For Pets or Baby From Kitchen(White, 120*72cm)",B07FJWY6BG,Hrtc,Baby Products,15.99,13006,19,304,82,Oct 28 2018,2.5,0.21,https://www.amazon.co.uk/dp/B07FJWY6BG/
55,Baby Gate Pet Gate Door Bar Guide Fixing Sheet for Baby Door Bar Pet Fence（ Not Include Fence）,B07PQGF4KS,Sue-Supply,Baby Products,13.81,229333,1,14,0,--,2.3,N/A,https://www.amazon.co.uk/dp/B07PQGF4KS/
56,"Lindam Easy Fit Plus Deluxe Pressure Fit Safety Gate - 76-82 cm, White",B009SLBFS8,Lindam,Baby Products,0,3086,100,,1083,Apr 5 2013,4.5,1,https://www.amazon.co.uk/dp/B009SLBFS8/
57,"Wall Nanny Extender - 4 Inch Baby Gate Extension - Extends Pressure Mounted Gates + Protects Walls + Stabilizes Gate - for Child, Pet & Dog Gates - Works on Stairs - 4 Pack Wall Protector",B07RHWH5XQ,Wall Nanny,Baby Products,19.95,1844,180,3591,644,Jan 17 2020,4.7,0.23,https://www.amazon.co.uk/dp/B07RHWH5XQ/
58,BabyDan True Pressure Avantgarde Baby Safety Stair Gate Silver Beech All Widths (103.2cm-110.6cm),B00TSNK2VC,BabyDan,Baby Products,63.7,60936,4,255,44,,4.1,6.9,https://www.amazon.co.uk/dp/B00TSNK2VC/
59,6 x 125g Jars Cow & Gate Carrot & Chicken Risotto Baby Nutritious Food,B086K1CJPD,KRISP,Grocery,12.5,40108,,,0,--,5.0,0.8,https://www.amazon.co.uk/dp/B086K1CJPD/
60,BabyDan Danamic True Pressure Baby Safety Stair Gate White All Widths (79.5cm-87cm),B00TSOBXHI,BabyDan,Baby Products,36.9,8399,29,1070,59,,4.2,5.22,https://www.amazon.co.uk/dp/B00TSOBXHI/
61,Dreambaby Liberty Safety Gate Set - 1 gate + 2 Extensions (fits 99cm-132.5cm) White,B07VGMXH8S,Dreambaby,Baby Products,0,7179,34,,1,,4.0,7,https://www.amazon.co.uk/dp/B07VGMXH8S/
