#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
38,AIRGONE Jigsaw Puzzle Roll Storage Mat with Up to 2000 Puzzle Pieces with Inflatable Tube Pump Storage Bag for Family Kids and Adults (Grey),B086MVHDDH,AIRGONE,Toys & Games,0,148868,21,,0,--,5.0,N/A,https://www.amazon.co.uk/dp/B086MVHDDH/
39,TriLance Jigsaw Puzzle Mat Roll Up Set-Jigroll Up to 1500 Pieces Puzzle Saver Large Puzzles Board for Adults Kids-Preserve Your Finished Puzzle,B086SV6PF4,TriLance,Toys & Games,5.99,17975,67,401,0,--,5.0,N/A,https://www.amazon.co.uk/dp/B086SV6PF4/
40,"Puzzle Roll, Whithai Puzzle Storage Mat with Inflatable Tube Pump Storage Bag for Puzzle Jigsaw Player,1500 Pieces",B0863BFWS1,Winthai,Toys & Games,15.59,135236,22,343,0,--,5.0,0.22,https://www.amazon.co.uk/dp/B0863BFWS1/
41,Beiswin Puzzle Storage Mat Roll Up Puzzle Roll Felt Travel Storage Bag Accessories for Up To 1500 Pieces Puzzle,B08799224R,Beiswin,Toys & Games,4.95,33084,43,213,0,--,0.0,N/A,https://www.amazon.co.uk/dp/B08799224R/
42,"feeilty Jigsaw Puzzle Roll Mat Puzzle Storage Saver Felt Mat, Puzzle Roll Up Mat Jigsaw Fun Game Storage Pad Blanket for Adults Fun 26x46inch",B086SZC7ZF,feeilty,Toys & Games,0,78852,27,,2,,5.0,N/A,https://www.amazon.co.uk/dp/B086SZC7ZF/
43,#N/A Jigsaw Puzzle Storage Felt Mat Jigsaw Puzzle Roll Mat No Folded Creases Puzzle Blanket For Up to 1500 Pieces Of Puzzles Accessories Travel Storage Bag,B087746TCN,#N/A,Toys & Games,7.85,18979,64,502,0,--,0.0,N/A,https://www.amazon.co.uk/dp/B087746TCN/
44,Bireegoo 1000 pcs Jigsaw Puzzles with Storage Roll Mat Landscape Puzzle Pattern Sights Views Jigsaw Puzzles with Imagination Series Toys for Adults Educational Gift Puzzle Toy,B0871WSGJ9,Bireegoo,Toys & Games,9.9,86665,26,257,0,--,5.0,0.3,https://www.amazon.co.uk/dp/B0871WSGJ9/
45,"Migaven Jigsaw Puzzle Storage Mat Roll Up to 2,000 Pieces,26 x 46 Inch Black",B0865ZL766,Migaven,Toys & Games,12.99,72077,28,364,0,--,5.0,0.25,https://www.amazon.co.uk/dp/B0865ZL766/
46,RAVENSBURGER 17956 - ROLL YOUR,B00QDWK4XM,Ravensburger Erwachsenenpuzzle,Toys & Games,18.18,73103,28,509,1458,,4.0,0.45,https://www.amazon.co.uk/dp/B00QDWK4XM/
47,FuYouTa Jigsaw Puzzle Roll Mat Puzzle Roll Jigsaw Storage Felt Mat Play Mat Puzzles Blanket For Up to 1500 Pieces Puzzles Travel Storage bag,B086MD4LBB,FuYouTa,Toys & Games,0,162823,21,,0,--,5.0,0.45,https://www.amazon.co.uk/dp/B086MD4LBB/
